codigo_aeronave,codigo_operador,equipamento,fabricante,modelo,tipo_motor,quantidade_motores,peso_maximo_decolagem,quantidade_assentos,ano_fabricacao,pais_registro,categoria_aviacao,fase_operacao,tipo_operacao,nivel_dano,quantidade_fatalidades,classificacao,tipo,localidade,uf,pais,quantidade_recomendacoes,aeronaves_envolvidas,dia,mes,ano,periodo_mes,dia_semana,periodo_semana,hora,periodo_dia
252,3175,AVIÃO,EMBRAER,EMB-810C,PISTÃO,2.0,2073,7.0,1982.0,BRASIL,TÁXI AÉREO,CORRIDA APÓS POUSO,TÁXI AÉREO,NENHUM,0,INCIDENTE GRAVE,POUSO EM LOCAL NÃO PREVISTO,TERRA SANTA,PA,BRASIL,0,1,1,12,2008,inicio,0,semana,20,noite
256,161,AVIÃO,XAVANTE,A-122-B,PISTÃO,1.0,840,2.0,1978.0,BRASIL,INSTRUÇÃO,DECOLAGEM,INSTRUÇÃO,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE NO SOLO,LUZIÂNIA,GO,BRASIL,0,1,15,8,2013,meio,3,semana,11,manha
256,161,AVIÃO,XAVANTE,A-122-B,PISTÃO,1.0,840,2.0,1978.0,BRASIL,INSTRUÇÃO,DECOLAGEM,INSTRUÇÃO,NENHUM,0,INCIDENTE GRAVE,FALHA DO MOTOR EM VOO,CALDAS NOVAS,GO,BRASIL,0,1,11,10,2012,meio,3,semana,11,manha
267,3992,AVIÃO,PIPER AIRCRAFT,PA-28R-200,PISTÃO,1.0,1179,4.0,1973.0,BRASIL,PARTICULAR,APROXIMAÇÃO FINAL,PRIVADA,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE EM VOO,MARINGÁ,PR,BRASIL,0,1,28,4,2012,fim,5,fds,20,noite
268,212,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770,3.0,1988.0,BRASIL,INSTRUÇÃO,ARREMETIDA NO SOLO,INSTRUÇÃO,LEVE,0,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,JUIZ DE FORA,MG,BRASIL,0,1,2,6,2009,inicio,1,semana,20,noite
275,1732,AVIÃO,PIPER AIRCRAFT,PA-30,PISTÃO,2.0,1633,6.0,1966.0,BRASIL,INSTRUÇÃO,POUSO,INSTRUÇÃO,SUBSTANCIAL,0,INCIDENTE GRAVE,POUSO SEM TREM,BATATAIS,SP,BRASIL,0,1,4,2,2014,inicio,1,semana,20,noite
294,49,AVIÃO,EMBRAER,EMB-820C NAVAJO,PISTÃO,2.0,3175,10.0,1976.0,BRASIL,TÁXI AÉREO,POUSO,TÁXI AÉREO,SUBSTANCIAL,0,ACIDENTE,POUSO SEM TREM,CAIRU,BA,BRASIL,0,1,5,1,2011,inicio,2,semana,19,noite
294,49,AVIÃO,EMBRAER,EMB-820C NAVAJO,PISTÃO,2.0,3175,10.0,1976.0,BRASIL,TÁXI AÉREO,POUSO,TÁXI AÉREO,NENHUM,0,INCIDENTE GRAVE,POUSO LONGO,CAIRU,BA,BRASIL,0,1,27,12,2008,fim,5,fds,20,noite
301,231,AVIÃO,PIPER AIRCRAFT,PA-18,PISTÃO,1.0,680,2.0,1951.0,BRASIL,INSTRUÇÃO,POUSO,INSTRUÇÃO,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE NO SOLO,NOVO HAMBURGO,RS,BRASIL,1,1,13,6,2015,meio,5,fds,16,tarde
337,3992,AVIÃO,CESSNA AIRCRAFT,550,JATO,2.0,6033,10.0,1981.0,BRASIL,PARTICULAR,POUSO,PRIVADA,SUBSTANCIAL,0,ACIDENTE,POUSO LONGO,MANHUAÇU,MG,BRASIL,0,1,7,10,2011,inicio,4,semana,20,noite
350,2309,AVIÃO,BEECH AIRCRAFT,C90,TURBOÉLICE,2.0,4377,10.0,1981.0,BRASIL,TÁXI AÉREO,DESCIDA,TÁXI AÉREO,NENHUM,0,INCIDENTE GRAVE,FALHA DO MOTOR EM VOO,SÃO PAULO,SP,BRASIL,0,1,3,9,2007,inicio,0,semana,14,tarde
352,1289,AVIÃO,PIPER AIRCRAFT,PA-28-140,PISTÃO,1.0,975,4.0,1974.0,BRASIL,INSTRUÇÃO,DECOLAGEM,INSTRUÇÃO,DESTRUÍDA,2,ACIDENTE,PERDA DE CONTROLE EM VOO,SALVADOR,BA,BRASIL,2,1,22,11,2007,fim,3,semana,13,tarde
442,5193,AVIÃO,EMBRAER,EMB-820C NAVAJO,PISTÃO,2.0,3175,10.0,1980.0,BRASIL,TÁXI AÉREO,CRUZEIRO,TÁXI AÉREO,NENHUM,0,INCIDENTE GRAVE,FALHA DO MOTOR EM VOO,PONTA DE PEDRAS,PA,BRASIL,0,1,31,5,2011,fim,1,semana,20,noite
445,161,PLANADOR,INDÚSTRIA PARANAENSE DE ESTRUTURAS,KW1,SEM TRAÇÃO,0.0,280,1.0,1983.0,BRASIL,INSTRUÇÃO,CORRIDA APÓS POUSO,INSTRUÇÃO,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE NO SOLO,FORMOSA,GO,BRASIL,0,1,18,12,2010,meio,5,fds,20,noite
483,176,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770,2.0,1989.0,BRASIL,INSTRUÇÃO,POUSO,INSTRUÇÃO,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE NO SOLO,CONCÓRDIA,SC,BRASIL,0,1,12,4,2006,meio,2,semana,16,tarde
505,3992,AVIÃO,CESSNA AIRCRAFT,182M,PISTÃO,1.0,1271,4.0,1969.0,BRASIL,PARTICULAR,INDETERMINADA,PRIVADA,LEVE,0,ACIDENTE,PANE SECA,FORMOSA,GO,BRASIL,1,1,13,9,2006,meio,2,semana,23,noite
524,315,AVIÃO,AERO BOERO,AB-180,PISTÃO,1.0,844,3.0,1990.0,BRASIL,INSTRUÇÃO,CORRIDA APÓS POUSO,INSTRUÇÃO,LEVE,0,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,FORMOSA,GO,BRASIL,0,1,6,5,2012,inicio,6,fds,19,noite
534,3992,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PISTÃO,2.0,2155,6.0,1990.0,BRASIL,PARTICULAR,POUSO,PRIVADA,SUBSTANCIAL,0,INCIDENTE GRAVE,COM TREM DE POUSO,TOLEDO,PR,BRASIL,0,1,23,5,2012,fim,2,semana,11,manha
540,4365,AVIÃO,EMBRAER,EMB-110P1,TURBOÉLICE,2.0,5670,21.0,1981.0,BRASIL,REGULAR,CORRIDA APÓS POUSO,REGULAR,DESTRUÍDA,0,ACIDENTE,FALHA DO MOTOR EM VOO,COARI,AM,BRASIL,9,1,21,4,2008,fim,0,semana,19,noite
559,321,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,56-C-1,PISTÃO,1.0,630,2.0,1969.0,BRASIL,INSTRUÇÃO,DECOLAGEM,INSTRUÇÃO,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE NO SOLO,JUNDIAÍ,SP,BRASIL,0,1,25,10,2008,fim,5,fds,19,noite
566,3175,AVIÃO,EMBRAER,EMB-810C,PISTÃO,2.0,2073,7.0,1979.0,BRASIL,TÁXI AÉREO,SUBIDA,TÁXI AÉREO,DESTRUÍDA,6,ACIDENTE,FALHA DO MOTOR EM VOO,MANAUS,AM,BRASIL,4,1,13,5,2010,meio,3,semana,18,tarde
576,2176,AVIÃO,EMBRAER,EMB-820C CARAJA,TURBOÉLICE,2.0,3629,10.0,1986.0,BRASIL,TÁXI AÉREO,CIRCUITO DE TRÁFEGO,TÁXI AÉREO,SUBSTANCIAL,10,ACIDENTE,PERDA DE CONTROLE EM VOO,ALMEIRIM,PA,BRASIL,3,1,12,3,2013,meio,1,semana,12,manha
588,3440,AVIÃO,EMBRAER,EMB-110P1,TURBOÉLICE,2.0,5670,21.0,1981.0,BRASIL,TÁXI AÉREO,CRUZEIRO,TÁXI AÉREO,DESTRUÍDA,24,ACIDENTE,FALHA DO MOTOR EM VOO,MANACAPURU,AM,BRASIL,22,1,7,2,2009,inicio,5,fds,17,tarde
598,3992,AVIÃO,CESSNA AIRCRAFT,177B,PISTÃO,1.0,1134,4.0,1970.0,BRASIL,PARTICULAR,DECOLAGEM,PRIVADA,DESTRUÍDA,3,ACIDENTE,PERDA DE CONTROLE NO SOLO,CURITIBA,PR,BRASIL,0,1,30,8,2014,fim,5,fds,16,tarde
601,160,AVIÃO,CIA AERONAUTICA PAULISTA,CAP-4,PISTÃO,1.0,587,2.0,1947.0,BRASIL,INSTRUÇÃO,POUSO,INSTRUÇÃO,LEVE,0,INCIDENTE GRAVE,TRÁFEGO AÉREO,SÃO JOÃO DA BOA VISTA,SP,BRASIL,0,2,16,8,2014,meio,5,fds,19,noite
830,160,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,56-B,PISTÃO,1.0,660,2.0,1963.0,BRASIL,INSTRUÇÃO,POUSO,INSTRUÇÃO,NENHUM,0,INCIDENTE GRAVE,TRÁFEGO AÉREO,SÃO JOÃO DA BOA VISTA,SP,BRASIL,0,2,16,8,2014,meio,5,fds,19,noite
601,160,AVIÃO,CIA AERONAUTICA PAULISTA,CAP-4,PISTÃO,1.0,587,2.0,1947.0,BRASIL,INSTRUÇÃO,MANOBRA,INSTRUÇÃO,SUBSTANCIAL,0,ACIDENTE,FALHA DO MOTOR EM VOO,ITAPIRA,SP,BRASIL,1,1,21,2,2015,fim,5,fds,11,manha
635,3992,AVIÃO,CESSNA AIRCRAFT,500,JATO,2.0,4921,7.0,1972.0,BRASIL,PARTICULAR,POUSO,PRIVADA,SUBSTANCIAL,0,ACIDENTE,POUSO LONGO,SÃO PAULO,SP,BRASIL,1,1,18,5,2013,meio,5,fds,19,noite
664,3992,AVIÃO,CESSNA AIRCRAFT,172L,PISTÃO,1.0,1043,4.0,1971.0,BRASIL,PARTICULAR,INDETERMINADA,PRIVADA,DESTRUÍDA,2,ACIDENTE,COLISÃO EM VOO COM OBSTÁCULO,BRASÍLIA,DF,BRASIL,7,1,10,12,2006,inicio,6,fds,16,tarde
673,3992,AVIÃO,CESSNA AIRCRAFT,402B,PISTÃO,2.0,2858,7.0,1974.0,BRASIL,PARTICULAR,POUSO,PRIVADA,SUBSTANCIAL,0,INCIDENTE GRAVE,POUSO SEM TREM,PATROCÍNIO,MG,BRASIL,0,1,17,4,2014,meio,3,semana,20,noite
787,299,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770,3.0,1991.0,BRASIL,INSTRUÇÃO,CORRIDA APÓS POUSO,INSTRUÇÃO,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE NO SOLO,SANTO ANTÔNIO DO LEVERGER,MT,BRASIL,0,1,18,12,2013,meio,2,semana,9,manha
807,3992,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711C,PISTÃO,1.0,1202,4.0,1976.0,BRASIL,PARTICULAR,SUBIDA,PRIVADA,SUBSTANCIAL,0,ACIDENTE,FALHA DO MOTOR EM VOO,FOZ DO IGUAÇU,PR,BRASIL,1,1,30,11,2008,fim,6,fds,13,tarde
821,4686,AVIÃO,EMBRAER,EMB-810D,PISTÃO,2.0,2155,7.0,1982.0,BRASIL,TÁXI AÉREO,DECOLAGEM,TÁXI AÉREO,SUBSTANCIAL,0,INCIDENTE GRAVE,COLISÃO EM VOO COM OBSTÁCULO,PIRANHAS,GO,BRASIL,0,1,5,8,2010,inicio,3,semana,18,tarde
825,3992,AVIÃO,PIPER AIRCRAFT,PA-34-200,PISTÃO,2.0,1814,6.0,1972.0,BRASIL,PARTICULAR,INDETERMINADA,PRIVADA,DESTRUÍDA,3,ACIDENTE,OUTROS TIPOS,VITÓRIA,ES,BRASIL,0,1,13,10,2006,meio,4,semana,22,noite
830,160,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,56-B,PISTÃO,1.0,660,2.0,1963.0,BRASIL,INSTRUÇÃO,TÁXI,INSTRUÇÃO,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE NO SOLO,BRAGANÇA PAULISTA,SP,BRASIL,0,1,19,11,2014,meio,2,semana,11,manha
839,238,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770,3.0,1991.0,BRASIL,INSTRUÇÃO,CORRIDA APÓS POUSO,INSTRUÇÃO,LEVE,0,ACIDENTE,PERDA DE COMPONENTE NO SOLO,PELOTAS,RS,BRASIL,0,1,23,2,2008,fim,5,fds,14,tarde
889,283,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711C,PISTÃO,1.0,1202,4.0,1977.0,BRASIL,INSTRUÇÃO,POUSO,INSTRUÇÃO,LEVE,0,INCIDENTE GRAVE,POUSO SEM TREM,ATIBAIA,SP,BRASIL,3,1,14,7,2009,meio,1,semana,20,noite
895,3259,AVIÃO,BEECH AIRCRAFT,C90,TURBOÉLICE,2.0,4377,10.0,1978.0,BRASIL,TÁXI AÉREO,SUBIDA,TÁXI AÉREO,LEVE,0,INCIDENTE GRAVE,PERDA DE COMPONENTE EM VOO,MINAS NOVAS,MG,BRASIL,0,1,19,7,2009,meio,6,fds,14,tarde
898,158,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770,2.0,1991.0,BRASIL,INSTRUÇÃO,DECOLAGEM,INSTRUÇÃO,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE NO SOLO,BLUMENAU,SC,BRASIL,1,1,12,4,2011,meio,1,semana,11,manha
902,165,AVIÃO,CIA AERONAUTICA PAULISTA,CAP-4,PISTÃO,1.0,587,2.0,1940.0,BRASIL,INSTRUÇÃO,DECOLAGEM,INSTRUÇÃO,SUBSTANCIAL,0,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,CAMPINAS,SP,BRASIL,0,1,7,1,2012,inicio,5,fds,18,tarde
902,165,AVIÃO,CIA AERONAUTICA PAULISTA,CAP-4,PISTÃO,1.0,587,2.0,1940.0,BRASIL,INSTRUÇÃO,CORRIDA APÓS POUSO,INSTRUÇÃO,LEVE,0,ACIDENTE,FALHA DO MOTOR EM VOO,JAGUARIÚNA,SP,BRASIL,0,1,4,2,2009,inicio,2,semana,10,manha
996,3992,AVIÃO,CESSNA AIRCRAFT,210K,PISTÃO,1.0,1724,6.0,1970.0,BRASIL,PARTICULAR,POUSO,PRIVADA,LEVE,0,INCIDENTE GRAVE,COM TREM DE POUSO,GOIÂNIA,GO,BRASIL,0,1,9,4,2010,inicio,4,semana,21,noite
996,3992,AVIÃO,CESSNA AIRCRAFT,210K,PISTÃO,1.0,1724,6.0,1970.0,BRASIL,PARTICULAR,POUSO,PRIVADA,SUBSTANCIAL,0,INCIDENTE GRAVE,COM TREM DE POUSO,NOVO PLANALTO,GO,BRASIL,0,1,10,5,2011,inicio,1,semana,12,manha
1012,3992,AVIÃO,EMBRAER,EMB-810C,PISTÃO,2.0,2073,6.0,1977.0,BRASIL,PARTICULAR,DESCIDA,PRIVADA,NENHUM,0,INCIDENTE GRAVE,FALHA DO MOTOR EM VOO,TAIPU,RN,BRASIL,0,1,9,11,2015,inicio,0,semana,20,noite
1059,299,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770,2.0,1992.0,BRASIL,INSTRUÇÃO,POUSO,INSTRUÇÃO,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE NO SOLO,CUIABÁ,MT,BRASIL,0,1,18,9,2013,meio,2,semana,11,manha
1059,299,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770,2.0,1992.0,BRASIL,INSTRUÇÃO,CORRIDA APÓS POUSO,INSTRUÇÃO,NENHUM,0,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,CUIABÁ,MT,BRASIL,0,1,30,4,2010,fim,4,semana,19,noite
1163,3992,AVIÃO,CESSNA AIRCRAFT,177B,PISTÃO,1.0,1134,4.0,1973.0,BRASIL,PARTICULAR,CRUZEIRO,PRIVADA,LEVE,0,INCIDENTE GRAVE,PERDA DE COMPONENTE EM VOO,FLORIANÓPOLIS,SC,BRASIL,0,1,27,11,2011,fim,6,fds,13,tarde
1171,5033,AVIÃO,CESSNA AIRCRAFT,402B,PISTÃO,2.0,2858,10.0,1973.0,BRASIL,TÁXI AÉREO,CORRIDA APÓS POUSO,TÁXI AÉREO,SUBSTANCIAL,0,ACIDENTE,COM TREM DE POUSO,PICOS,PI,BRASIL,5,1,13,12,2010,meio,0,semana,12,manha
1182,935,AVIÃO,CESSNA AIRCRAFT,310Q,PISTÃO,2.0,2404,6.0,1973.0,BRASIL,TÁXI AÉREO,POUSO,TÁXI AÉREO,SUBSTANCIAL,0,ACIDENTE,COM TREM DE POUSO,SALVADOR,BA,BRASIL,1,1,11,9,2007,meio,1,semana,19,noite
1184,383,AVIÃO,EMBRAER,EMB-810C,PISTÃO,2.0,2073,7.0,1979.0,BRASIL,TÁXI AÉREO,CORRIDA APÓS POUSO,TÁXI AÉREO,SUBSTANCIAL,0,ACIDENTE,COLISÃO COM OBSTÁCULO NO SOLO,SANTA RITA DO ARAGUAIA,GO,BRASIL,1,1,28,3,2014,fim,4,semana,19,noite
1188,3992,AVIÃO,MAULE AIRCRAFT,M-7-235,PISTÃO,1.0,1134,5.0,1991.0,BRASIL,PARTICULAR,DECOLAGEM,PRIVADA,LEVE,0,INCIDENTE GRAVE,OUTROS TIPOS,MANAUS,AM,BRASIL,0,1,5,9,2008,inicio,4,semana,15,tarde
1188,3992,AVIÃO,MAULE AIRCRAFT,M-7-235,PISTÃO,1.0,1134,5.0,1991.0,BRASIL,PARTICULAR,SUBIDA,PRIVADA,DESTRUÍDA,1,ACIDENTE,PERDA DE CONTROLE EM VOO,MANAUS,AM,BRASIL,7,1,7,12,2008,inicio,6,fds,11,manha
1212,3992,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-721C,PISTÃO,1.0,1633,7.0,1977.0,BRASIL,PARTICULAR,POUSO,PRIVADA,SUBSTANCIAL,0,ACIDENTE,COM TREM DE POUSO,CÁCERES,MT,BRASIL,0,1,17,4,2009,meio,4,semana,17,tarde
1214,160,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,56-C,PISTÃO,1.0,660,2.0,1962.0,BRASIL,INSTRUÇÃO,CORRIDA APÓS POUSO,INSTRUÇÃO,LEVE,0,ACIDENTE,PERDA DE CONTROLE NO SOLO,BRAGANÇA PAULISTA,SP,BRASIL,0,1,28,6,2011,fim,1,semana,18,tarde
1237,617,AVIÃO,EMBRAER,EMB-810D,PISTÃO,2.0,2155,6.0,1990.0,BRASIL,TÁXI AÉREO,CORRIDA APÓS POUSO,TÁXI AÉREO,SUBSTANCIAL,0,INCIDENTE GRAVE,COM TREM DE POUSO,CAMPO GRANDE,MS,BRASIL,0,1,2,10,2013,inicio,2,semana,20,noite
1278,3175,HELICÓPTERO,HELIBRAS,HB-350B,TURBOEIXO,1.0,1950,6.0,1990.0,BRASIL,TÁXI AÉREO,ARREMETIDA NO AR,TÁXI AÉREO,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE EM VOO,ALENQUER,PA,BRASIL,0,1,27,6,2006,fim,1,semana,11,manha
1281,2361,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770,3.0,1992.0,BRASIL,INSTRUÇÃO,CORRIDA APÓS POUSO,INSTRUÇÃO,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE NO SOLO,CAMPINAS,SP,BRASIL,0,1,22,11,2008,fim,5,fds,12,manha
1281,3992,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770,3.0,1992.0,BRASIL,PARTICULAR,POUSO,INSTRUÇÃO,SUBSTANCIAL,0,INCIDENTE GRAVE,POUSO BRUSCO,OURO FINO,MG,BRASIL,0,1,2,4,2012,inicio,0,semana,16,tarde
1297,218,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770,2.0,1992.0,BRASIL,INSTRUÇÃO,POUSO,INSTRUÇÃO,LEVE,0,INCIDENTE GRAVE,PERDA DE CONTROLE EM VOO,LONDRINA,PR,BRASIL,0,1,8,5,2013,inicio,2,semana,17,tarde
1297,218,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770,2.0,1992.0,BRASIL,INSTRUÇÃO,POUSO,INSTRUÇÃO,NENHUM,0,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,LONDRINA,PR,BRASIL,0,1,14,8,2011,meio,6,fds,11,manha
1297,218,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770,2.0,1992.0,BRASIL,INSTRUÇÃO,CORRIDA APÓS POUSO,INSTRUÇÃO,SUBSTANCIAL,0,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,LONDRINA,PR,BRASIL,0,1,17,3,2014,meio,0,semana,15,tarde
1297,218,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770,2.0,1992.0,BRASIL,INSTRUÇÃO,ARREMETIDA NO SOLO,INSTRUÇÃO,SUBSTANCIAL,0,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,LONDRINA,PR,BRASIL,0,1,24,11,2011,fim,3,semana,21,noite
1311,310,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770,3.0,1992.0,BRASIL,INSTRUÇÃO,DECOLAGEM,INSTRUÇÃO,LEVE,0,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,VILA VELHA,ES,BRASIL,0,1,17,10,2009,meio,5,fds,14,tarde
1325,3992,AVIÃO,BEECH AIRCRAFT,95-B55,PISTÃO,2.0,2268,6.0,1971.0,BRASIL,PARTICULAR,DECOLAGEM,PRIVADA,SUBSTANCIAL,0,ACIDENTE,COM HÉLICE,RECIFE,PE,BRASIL,4,1,28,5,2008,fim,2,semana,10,manha
1334,3992,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201,PISTÃO,1.0,1800,1.0,1974.0,BRASIL,PARTICULAR,INDETERMINADA,AGRÍCOLA,DESTRUÍDA,1,ACIDENTE,INDETERMINADA,SORRISO,MT,BRASIL,0,1,26,3,2013,fim,1,semana,14,tarde
1335,4151,HELICÓPTERO,HELIBRAS,AS 350 BA,TURBOEIXO,1.0,2100,6.0,1988.0,BRASIL,ADMINISTRAÇÃO DIRETA,DECOLAGEM,POLICIAL,SUBSTANCIAL,0,ACIDENTE,FALHA DO MOTOR EM VOO,BRASÍLIA,DF,BRASIL,2,1,7,8,2009,inicio,4,semana,20,noite
1336,3984,AVIÃO,CESSNA AIRCRAFT,210L,PISTÃO,1.0,1724,6.0,1973.0,BRASIL,TÁXI AÉREO,CRUZEIRO,TÁXI AÉREO,DESTRUÍDA,1,ACIDENTE,FALHA DO MOTOR EM VOO,ALTO ALEGRE,RR,BRASIL,2,1,22,11,2011,fim,1,semana,16,tarde
1341,2349,HELICÓPTERO,BELL HELICOPTER,206B,TURBOEIXO,1.0,1451,5.0,1992.0,BRASIL,ADMINISTRAÇÃO DIRETA,CORRIDA APÓS POUSO,POLICIAL,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE NO SOLO,LONDRINA,PR,BRASIL,0,1,21,7,2015,fim,1,semana,17,tarde
1360,3992,AVIÃO,CESSNA AIRCRAFT,182F,PISTÃO,1.0,1270,4.0,1963.0,BRASIL,PARTICULAR,SUBIDA,PRIVADA,SUBSTANCIAL,0,ACIDENTE,PANE SECA,PAÇO DO LUMIAR,MA,BRASIL,4,1,10,7,2010,inicio,5,fds,13,tarde
1387,212,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770,3.0,1992.0,BRASIL,INSTRUÇÃO,ARREMETIDA NO SOLO,INSTRUÇÃO,NENHUM,0,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,JUIZ DE FORA,MG,BRASIL,0,1,21,4,2009,fim,1,semana,15,tarde
